Date,Open,High,Low,Close,Adj Close,Volume,Percentage,day,Res
1929-09-16,31.860001,31.860001,31.860001,31.860001,31.860001,0,0.0,0,The great depression
1929-09-17,31.6,31.6,31.6,31.6,31.6,0,-0.008160734207133258,1,The great depression
1929-09-18,31.68,31.68,31.68,31.68,31.68,0,-0.0056497487241133895,2,The great depression
1929-09-19,31.73,31.73,31.73,31.73,31.73,0,-0.00408038279722589,3,The great depression
1929-09-20,31.389999,31.389999,31.389999,31.389999,31.389999,0,-0.014752102487379124,4,The great depression
1929-09-23,31.379999,31.379999,31.379999,31.379999,31.379999,0,-0.015065975672756691,5,The great depression
1929-09-24,30.799999,30.799999,30.799999,30.799999,30.799999,0,-0.03327062042465101,6,The great depression
1929-09-25,30.85,30.85,30.85,30.85,30.85,0,-0.03170122311044499,7,The great depression
1929-09-26,31.129999,31.129999,31.129999,31.129999,31.129999,0,-0.022912805307193862,8,The great depression
1929-09-27,30.27,30.27,30.27,30.27,30.27,0,-0.04990586786233942,9,The great depression
1929-09-30,30.16,30.16,30.16,30.16,30.16,0,-0.05335847290149176,10,The great depression
1929-10-01,29.98,29.98,29.98,29.98,29.98,0,-0.059008190238286524,11,The great depression
1929-10-02,30.200001,30.200001,30.200001,30.200001,30.200001,0,-0.05210294877266329,12,The great depression
1929-10-03,28.950001,28.950001,28.950001,28.950001,28.950001,0,-0.09133709694484947,13,The great depression
1929-10-04,28.65,28.65,28.65,28.65,28.65,0,-0.10075332389349267,14,The great depression
1929-10-07,30.440001,30.440001,30.440001,30.440001,30.440001,0,-0.04456999232360348,15,The great depression
1929-10-08,30.34,30.34,30.34,30.34,30.34,0,-0.047708755564697,16,The great depression
1929-10-09,30.27,30.27,30.27,30.27,30.27,0,-0.04990586786233942,17,The great depression
1929-10-10,30.809999,30.809999,30.809999,30.809999,30.809999,0,-0.032956747239273554,18,The great depression
1929-10-11,30.76,30.76,30.76,30.76,30.76,0,-0.03452608177884231,19,The great depression
1929-10-14,30.549999,30.549999,30.549999,30.549999,30.549999,0,-0.04111745005908818,20,The great depression
1929-10-15,30.299999,30.299999,30.299999,30.299999,30.299999,0,-0.048964279693525466,21,The great depression
1929-10-16,29.24,29.24,29.24,29.24,29.24,0,-0.08223480595622079,22,The great depression
1929-10-17,29.690001,29.690001,29.690001,29.690001,29.690001,0,-0.06811048122691521,23,The great depression
1929-10-18,28.84,28.84,28.84,28.84,28.84,0,-0.09478973337132036,24,The great depression
1929-10-21,27.73,27.73,27.73,27.73,27.73,0,-0.1296296569482217,25,The great depression
1929-10-22,28.27,28.27,28.27,28.27,28.27,0,-0.11268050493783732,26,The great depression
1929-10-23,26.6,26.6,26.6,26.6,26.6,0,-0.16509732689587794,27,The great depression
1929-10-24,25.75,25.75,25.75,25.75,25.75,0,-0.1917765476529646,28,The great depression
1929-10-25,26.120001,26.120001,26.120001,26.120001,26.120001,0,-0.18016320840667888,29,The great depression
1929-10-28,22.74,22.74,22.74,22.74,22.74,0,-0.28625237645158896,30,The great depression
1929-10-29,20.43,20.43,20.43,20.43,20.43,0,-0.358757082273789,31,The great depression
1929-10-30,22.99,22.99,22.99,22.99,22.99,0,-0.2784055468171518,32,The great depression
1929-10-31,24.15,24.15,24.15,24.15,24.15,0,-0.2419962573133629,33,The great depression
1929-11-04,22.879999,22.879999,22.879999,22.879999,22.879999,0,-0.28185818324362266,34,The great depression
1929-11-06,20.610001,20.610001,20.610001,20.610001,20.610001,0,-0.3531073335496756,35,The great depression
1929-11-07,21.370001,21.370001,21.370001,21.370001,21.370001,0,-0.3292529714609864,36,The great depression
1929-11-08,21.18,21.18,21.18,21.18,21.18,0,-0.3352165933704773,37,The great depression
1929-11-11,19.860001,19.860001,19.860001,19.860001,19.860001,0,-0.37664782245298734,38,The great depression
1929-11-12,18.73,18.73,18.73,18.73,18.73,0,-0.41211552378796223,39,The great depression
